K,Variance,PSNR
5,0.942702667802203,23.488968835115944
10,0.9948698574975686,33.969018560217556
15,1.0,311.22902486545837
20,1.0,311.168570040504
25,1.0,311.1145375059781
5,0.9824763404694419,31.117475555897375
10,1.0000000000000002,304.657420348043
15,1.0000000000000002,304.64821968485165
20,1.0000000000000002,304.6394536475813
25,1.0000000000000002,304.63070526852357
5,0.9558563198515877,24.278493795920355
10,0.9940970679847767,33.01650134545418
15,0.9996908988702192,45.826173235384346
20,1.0000000000000002,309.14254740102353
25,1.0000000000000002,309.0726430148625
5,0.949130353364518,25.672982624105344
10,0.9986966198479648,41.58685879995416
15,1.0,314.49972544741155
20,1.0,314.38318663048074
25,1.0,314.2696934730684
5,0.9581473508801568,23.192203914617142
10,0.9950651039009331,32.47665330593294
15,0.9997981210284339,46.35852260279319
20,0.9999999999999997,307.7996987138913
25,0.9999999999999997,307.75246805615166
5,0.9291280340053205,22.33495234013906
10,0.9943908312614005,33.350712093800674
15,0.9999475252203371,53.6401909061684
20,1.0,307.941340308554
25,1.0,307.9030320422173
5,0.9002309059219905,23.21428879993206
10,0.9927236285274567,34.58510046241336
15,0.999998952765164,73.0038082829746
20,1.0,311.02227538729767
25,1.0,310.9717194456986
5,0.9431605567372066,23.930011001872863
10,0.9965344912067388,36.07883910440179
15,0.9999996072058672,75.53485923370901
20,1.0000000000000002,299.7900904920199
25,1.0000000000000002,299.78620367926726
5,0.9277644925444439,22.034598504144274
10,0.9934222018239146,32.44130034404315
15,0.999794381234253,47.49147830560985
20,1.0,306.60760361182014
25,1.0,306.5853399918239
5,0.9752932133206708,25.47261793357319
10,0.9975603129478324,35.52743937540289
15,0.9999653151120045,53.99937762452222
20,1.0,304.68652456727557
25,1.0,304.66295233502717
5,0.9331652469864459,24.22598119976948
10,0.9985836662668774,40.96434868483061
15,1.0,311.27803679736155
20,1.0,311.2245515420631
25,1.0,311.1717169755663
5,0.9815399603892994,28.579668960390244
10,0.9993227278948844,42.93436335981261
15,1.0,306.9942459439195
20,1.0,306.94161466113474
25,1.0,306.90319227447725
5,0.9666059725617546,27.30468315196459
10,0.9977590911990549,39.03712932606473
15,1.0,309.11875905909744
20,1.0,309.08589796437434
25,1.0,309.0532836485631
5,0.9581267621775202,24.485278504304556
10,0.9964335679920624,35.18230445324559
15,0.9999653728713271,55.31047913403966
20,0.9999999999999999,310.1715950751303
25,0.9999999999999999,310.0806634560218
5,0.9092308957772026,23.236328351883305
10,0.9954082282493389,36.19590592843239
15,1.0,313.76963125674627
20,1.0,313.6745257513643
25,1.0,313.58145839396207
5,0.966582198757298,26.047658205629062
10,0.997194885633792,36.807931198234904
15,1.0,309.2104551003652
20,1.0,309.15383445069
25,1.0,309.0979424962101
5,0.9522491779367932,22.31019084324696
10,0.9941040115849298,31.39443315472894
15,0.999645256523819,43.60085519565594
20,0.9999999999999996,307.72776209298337
25,0.9999999999999996,307.6733100352635
5,0.9255603579255506,22.20595366657712
10,0.9939070412554106,33.07571405390959
